#run N+ N- A_raw_p dA_raw_p
5740 12 19 -0.225806 0.174966
5741 22 17 0.128205 0.158807
5742 3 1 0.5 0.433013
5743 22 29 -0.137255 0.138703
5744 26 31 -0.0877193 0.131943
5745 43 29 0.194444 0.115602
5748 22 31 -0.169811 0.135366
5751 2 1 0.333333 0.544331
5752 44 40 0.047619 0.108985
5753 6 6 0 0.288675
5754 6 4 0.2 0.309839
5755 8 6 0.142857 0.26452
5756 54 40 0.148936 0.101992
5757 1 2 -0.333333 0.544331
5761 26 29 -0.0545455 0.134639
5762 24 30 -0.111111 0.13524
5763 29 34 -0.0793651 0.125591
5764 18 13 0.16129 0.177254
5765 15 17 -0.0625 0.176431
5768 31 26 0.0877193 0.131943
5770 22 15 0.189189 0.16143
5771 4 6 -0.2 0.309839
5773 39 39 0 0.113228
5778 56 49 0.0666667 0.0973729
5779 39 27 0.181818 0.12104
5781 24 32 -0.142857 0.13226
5783 22 15 0.189189 0.16143
5784 28 25 0.0566038 0.13714
5785 48 55 -0.0679612 0.0983051
5805 12 13 -0.04 0.19984
5806 3 2 0.2 0.438178
5807 1 0 1 0
5808 1 3 -0.5 0.433013
5809 31 18 0.265306 0.137738
5810 7 9 -0.125 0.248039
5811 4 3 0.142857 0.374088
5815 22 20 0.047619 0.154128
5816 29 23 0.115385 0.137749
5818 29 17 0.26087 0.142337
5819 17 29 -0.26087 0.142337
5820 2 1 0.333333 0.544331
5821 3 6 -0.333333 0.31427
5828 30 28 0.0344828 0.131228
5829 29 18 0.234043 0.141814
5830 13 11 0.0833333 0.203414
5831 7 0 1 0
5832 10 10 0 0.223607
5837 16 25 -0.219512 0.152365
5838 5 8 -0.230769 0.269864
5839 14 12 0.0769231 0.195535
5840 34 33 0.0149254 0.122156
5841 31 14 0.377778 0.138024
5842 2 3 -0.2 0.438178
5843 3 0 1 0
5844 7 5 0.166667 0.284638
5852 3 3 0 0.408248
5854 16 19 -0.0857143 0.168409
5856 23 19 0.0952381 0.153602
5858 29 14 0.348837 0.142919
5859 18 26 -0.181818 0.148243
5860 28 36 -0.125 0.12402
5861 21 28 -0.142857 0.141392
5862 19 22 -0.0731707 0.155755
5863 16 22 -0.157895 0.160187
5864 26 26 0 0.138675
5865 33 26 0.118644 0.129269
5866 20 32 -0.230769 0.134932
5868 14 29 -0.348837 0.142919
5869 28 24 0.0769231 0.138264
5870 27 30 -0.0526316 0.13227
5871 38 27 0.169231 0.122246
5872 12 12 0 0.204124
5873 25 13 0.315789 0.15392
5874 5 6 -0.0909091 0.300263
5875 15 19 -0.117647 0.170308
5877 21 30 -0.176471 0.13783
5879 11 5 0.375 0.231756
5880 24 34 -0.172414 0.12934
5881 11 12 -0.0434783 0.208317
5882 29 31 -0.0333333 0.129028
5883 22 13 0.257143 0.163347
5884 33 27 0.1 0.128452
5885 22 29 -0.137255 0.138703
5886 28 22 0.12 0.140399
5887 28 25 0.0566038 0.13714
5888 24 23 0.0212766 0.145832
5889 22 23 -0.0222222 0.149034
5890 36 20 0.285714 0.12806
5891 25 25 0 0.141421
5892 20 22 -0.047619 0.154128
5893 25 35 -0.166667 0.127294
5894 30 23 0.132075 0.136157
5895 33 39 -0.0833333 0.117441
5896 26 16 0.238095 0.149866
5897 3 2 0.2 0.438178
5898 27 15 0.285714 0.147871
5899 37 34 0.0422535 0.118572
5900 2 6 -0.5 0.306186
5901 30 27 0.0526316 0.13227
5902 11 15 -0.153846 0.193781
5903 19 21 -0.05 0.157916
5904 23 24 -0.0212766 0.145832
5912 13 10 0.130435 0.206733
5914 28 23 0.0980392 0.139353
5915 27 32 -0.0847458 0.129721
5916 2 0 1 0
5917 9 12 -0.142857 0.21598
5918 26 20 0.130435 0.146182
5919 37 41 -0.0512821 0.113079
5923 20 26 -0.130435 0.146182
5924 5 8 -0.230769 0.269864
5925 26 25 0.0196078 0.140001
5926 25 20 0.111111 0.148148
5927 11 14 -0.12 0.198555
5931 27 22 0.102041 0.142111
5932 10 8 0.111111 0.234243
5933 23 17 0.15 0.156325
5934 24 22 0.0434783 0.147303
5935 16 17 -0.030303 0.173998
5936 18 18 0 0.166667
5937 29 22 0.137255 0.138703
5938 33 24 0.157895 0.130792
5939 0 5 -1 0
5941 28 27 0.0181818 0.134818
5942 22 18 0.1 0.157321
5943 23 28 -0.0980392 0.139353
5944 19 21 -0.05 0.157916
5945 24 18 0.142857 0.152721
5947 23 17 0.15 0.156325
5948 23 24 -0.0212766 0.145832
5949 13 5 0.444444 0.211144
5950 20 12 0.25 0.171163
5951 35 26 0.147541 0.126636
5952 18 15 0.0909091 0.173357
5965 6 4 0.2 0.309839
5966 28 25 0.0566038 0.13714
5967 9 11 -0.1 0.222486
5968 13 11 0.0833333 0.203414
5971 7 3 0.4 0.289828
5974 31 35 -0.0606061 0.122865
5975 25 36 -0.180328 0.125938
