Q2,GEn_over_GD,dGEn_over_GD,dGEnPar_over_GD,dGEn_total
5.4325e-06,2.699085e-06,5.113644e-08,5.10966e-08,7.228968133443112e-08
5.4954e-06,2.730339e-06,5.172848e-08,5.168866e-08,7.312696640573844e-08
5.559e-06,2.761954e-06,5.232738e-08,5.228759e-08,7.397396005130792e-08
5.6234e-06,2.793935e-06,5.293321e-08,5.289345e-08,7.483075419776684e-08
5.6885e-06,2.826287e-06,5.354605e-08,5.350634e-08,7.569747611907612e-08
5.7544e-06,2.859014e-06,5.416599e-08,5.412632e-08,7.657423188920996e-08
5.821e-06,2.892119e-06,5.47931e-08,5.47535e-08,7.746114877704823e-08
5.8884e-06,2.925607e-06,5.542747e-08,5.538793e-08,7.835832578791994e-08
5.9566e-06,2.959484e-06,5.606919e-08,5.602972e-08,7.926590433808536e-08
6.0256e-06,2.993753e-06,5.671834e-08,5.667895e-08,8.018399756471425e-08
6.0954e-06,3.028418e-06,5.737499e-08,5.73357e-08,8.111271153148623e-08
6.166e-06,3.063485e-06,5.803925e-08,5.800006e-08,8.2052187664718e-08
6.2373e-06,3.098958e-06,5.87112e-08,5.867211e-08,8.30025391014763e-08
6.3096e-06,3.134841e-06,5.939093e-08,5.935196e-08,8.39639072584554e-08
6.3826e-06,3.171141e-06,6.007853e-08,6.003968e-08,8.493640527749747e-08
6.4565e-06,3.20786e-06,6.077408e-08,6.073537e-08,8.592016043329586e-08
6.5313e-06,3.245005e-06,6.147769e-08,6.143912e-08,8.69153141518254e-08
6.6069e-06,3.282579e-06,6.218944e-08,6.215103e-08,8.792199370791416e-08
6.6834e-06,3.320589e-06,6.290943e-08,6.287118e-08,8.894032638526406e-08
6.7608e-06,3.359039e-06,6.363776e-08,6.359968e-08,8.997046067415682e-08
6.8391e-06,3.397934e-06,6.437451e-08,6.433662e-08,9.101251678074011e-08
6.9183e-06,3.43728e-06,6.511979e-08,6.50821e-08,9.206664319966326e-08
6.9984e-06,3.477081e-06,6.58737e-08,6.583622e-08,9.313298135235659e-08
7.0795e-06,3.517343e-06,6.663634e-08,6.659907e-08,9.421166559115969e-08
7.1614e-06,3.558071e-06,6.74078e-08,6.737077e-08,9.530284440263523e-08
7.2444e-06,3.599271e-06,6.818819e-08,6.815141e-08,9.640665921223595e-08
7.3282e-06,3.640947e-06,6.897762e-08,6.894109e-08,9.752325851432827e-08
7.4131e-06,3.683107e-06,6.977618e-08,6.973992e-08,9.865278372655685e-08
7.4989e-06,3.725754e-06,7.058399e-08,7.054801e-08,9.979539748545621e-08
7.5858e-06,3.768896e-06,7.140115e-08,7.136546e-08,1.0095124121244919e-07
7.6736e-06,3.812537e-06,7.222777e-08,7.219238e-08,1.0212047047109262e-07
7.7625e-06,3.856683e-06,7.306395e-08,7.302889e-08,1.0330324082154732e-07
7.8524e-06,3.90134e-06,7.390981e-08,7.387509e-08,1.0449970783090353e-07
7.9433e-06,3.946515e-06,7.476546e-08,7.473109e-08,1.0571002706271387e-07
8.0353e-06,3.992212e-06,7.563102e-08,7.559701e-08,1.0693436822266497e-07
8.1283e-06,4.038439e-06,7.65066e-08,7.647297e-08,1.0817289394381986e-07
8.2224e-06,4.085201e-06,7.739231e-08,7.735908e-08,1.0942575978983422e-07
8.3176e-06,4.132504e-06,7.828827e-08,7.825545e-08,1.106931283969127e-07
8.414e-06,4.180355e-06,7.91946e-08,7.916221e-08,1.1197517654035692e-07
8.5114e-06,4.22876e-06,8.011142e-08,8.007947e-08,1.1327206685629648e-07
8.6099e-06,4.277726e-06,8.103885e-08,8.100737e-08,1.1458398318979578e-07
8.7096e-06,4.327259e-06,8.197702e-08,8.194602e-08,1.1591109524942295e-07
8.8105e-06,4.377365e-06,8.292604e-08,8.289554e-08,1.1725356566848277e-07
8.9125e-06,4.428051e-06,8.388605e-08,8.385606e-08,1.1861158536722329e-07
9.0157e-06,4.479324e-06,8.485717e-08,8.482772e-08,1.199853381909944e-07
9.1201e-06,4.531191e-06,8.583954e-08,8.581063e-08,1.2137500092032336e-07
9.2257e-06,4.583659e-06,8.683327e-08,8.680493e-08,1.227807503283711e-07
9.3325e-06,4.636734e-06,8.78385e-08,8.781076e-08,1.2420278440529261e-07
9.4406e-06,4.690423e-06,8.885536e-08,8.882824e-08,1.2564127992911884e-07
9.5499e-06,4.744734e-06,8.9884e-08,8.98575e-08,1.2709643489197485e-07
9.6605e-06,4.799674e-06,9.092454e-08,9.08987e-08,1.2856844727965568e-07
9.7724e-06,4.85525e-06,9.197712e-08,9.195196e-08,1.3005750094222171e-07
9.8855e-06,4.91147e-06,9.304189e-08,9.301742e-08,1.3156380094170472e-07
1e-05,4.968341e-06,9.411897e-08,9.409523e-08,1.3308753819427947e-07
1.0116e-05,5.02587e-06,9.520853e-08,9.518553e-08,1.3462893190596815e-07
1.0233e-05,5.084065e-06,9.631069e-08,9.628846e-08,1.36188165922916e-07
1.0351e-05,5.142934e-06,9.742561e-08,9.740417e-08,1.3776545944924294e-07
1.0471e-05,5.202485e-06,9.855343e-08,9.853281e-08,1.393610175452985e-07
1.0593e-05,5.262725e-06,9.96943e-08,9.967453e-08,1.4097505234335222e-07
1.0715e-05,5.323663e-06,1.008484e-07,1.008295e-07,1.4260781133167285e-07
1.0839e-05,5.385307e-06,1.020158e-07,1.019978e-07,1.4425940057576836e-07
1.0965e-05,5.447664e-06,1.031968e-07,1.031797e-07,1.45930223128487e-07
1.1092e-05,5.510743e-06,1.043914e-07,1.043752e-07,1.4762027898971064e-07
1.122e-05,5.574552e-06,1.055998e-07,1.055846e-07,1.4932992170760688e-07
1.135e-05,5.639101e-06,1.068222e-07,1.068081e-07,1.5105943412594264e-07
1.1482e-05,5.704396e-06,1.080588e-07,1.080457e-07,1.5280895767568732e-07
1.1614e-05,5.770448e-06,1.093097e-07,1.092976e-07,1.545787044836707e-07
1.1749e-05,5.837265e-06,1.10575e-07,1.105641e-07,1.5636895738544143e-07
1.1885e-05,5.904855e-06,1.11855e-07,1.118452e-07,1.581799285245761e-07
1.2023e-05,5.973228e-06,1.131498e-07,1.131412e-07,1.6001190073703894e-07
1.2162e-05,6.042392e-06,1.144596e-07,1.144521e-07,1.6186501544981857e-07
1.2303e-05,6.112358e-06,1.157846e-07,1.157783e-07,1.6373969692182163e-07
1.2445e-05,6.183133e-06,1.171249e-07,1.171199e-07,1.6563608657541993e-07
1.2589e-05,6.254728e-06,1.184807e-07,1.18477e-07,1.6755439654479378e-07
1.2735e-05,6.327152e-06,1.198521e-07,1.198498e-07,1.6949483896110228e-07
1.2882e-05,6.400415e-06,1.212395e-07,1.212385e-07,1.7145783809000976e-07
1.3032e-05,6.474525e-06,1.226429e-07,1.226433e-07,1.7344353535171035e-07
1.3183e-05,6.549494e-06,1.240626e-07,1.240644e-07,1.754522843000911e-07
1.3335e-05,6.625331e-06,1.254986e-07,1.255019e-07,1.7748415564655341e-07
1.349e-05,6.702046e-06,1.269513e-07,1.269562e-07,1.7953971507755603e-07
1.3646e-05,6.77965e-06,1.284208e-07,1.284272e-07,1.8161896259058414e-07
1.3804e-05,6.858151e-06,1.299073e-07,1.299153e-07,1.837223224526078e-07
1.3964e-05,6.937562e-06,1.31411e-07,1.314207e-07,1.8585007750735537e-07
1.4125e-05,7.017892e-06,1.329321e-07,1.329435e-07,1.8800243988485892e-07
1.4289e-05,7.099153e-06,1.344709e-07,1.344839e-07,1.901797631348299e-07
1.4454e-05,7.181354e-06,1.360274e-07,1.360422e-07,1.9238225939935316e-07
1.4622e-05,7.264507e-06,1.376019e-07,1.376185e-07,1.9461021151486373e-07
1.4791e-05,7.348623e-06,1.391946e-07,1.392132e-07,1.968640437545668e-07
