#run N+ N- A_raw_p dA_raw_p
3110 102 106 -0.0192308 0.0693247
3111 42 42 0 0.109109
3112 120 110 0.0434783 0.0658757
3113 95 100 -0.025641 0.0715879
3114 118 113 0.021645 0.0657798
3115 163 122 0.14386 0.0586187
3116 102 98 0.02 0.0706965
3117 66 100 -0.204819 0.0759696
3118 99 102 -0.0149254 0.0705267
3119 84 86 -0.0117647 0.0766912
3120 95 91 0.0215054 0.0733066
3121 54 51 0.0285714 0.0975502
3122 96 85 0.0607735 0.074192
3123 102 115 -0.0599078 0.0677625
3124 74 78 -0.0263158 0.0810826
3126 107 115 -0.036036 0.067072
3127 42 32 0.135135 0.115181
3134 148 154 -0.0198675 0.0575322
3135 157 145 0.0397351 0.0574981
3136 127 145 -0.0661765 0.060501
3138 83 78 0.0310559 0.078773
3139 28 31 -0.0508475 0.130021
3140 60 49 0.100917 0.0952936
3141 110 118 -0.0350877 0.0661858
3149 10 15 -0.2 0.195959
3150 2 9 -0.636364 0.232583
3151 92 87 0.027933 0.0747143
3152 117 93 0.114286 0.0685544
3158 18 22 -0.1 0.157321
3159 188 195 -0.0182768 0.0510891
3160 147 132 0.0537634 0.0597818
3161 150 133 0.0600707 0.0593365
3162 152 150 0.00662252 0.0575423
3163 146 151 -0.016835 0.0580177
3164 121 125 -0.0162602 0.0637492
3165 74 82 -0.0512821 0.0799587
3166 123 112 0.0468085 0.0651613
3167 131 127 0.0155039 0.0622498
3171 38 49 -0.126437 0.106351
3174 108 120 -0.0526316 0.0661348
3176 153 125 0.100719 0.059671
3177 128 145 -0.0622711 0.0604053
3178 119 121 -0.00833333 0.0645475
3179 140 151 -0.0378007 0.0585791
3180 149 134 0.0530035 0.0593603
3181 17 15 0.0625 0.176431
3182 119 114 0.0214592 0.0654971
3183 117 110 0.030837 0.0663408
3184 113 83 0.153061 0.0705869
3185 89 96 -0.0378378 0.0734688
3186 82 70 0.0789474 0.0808575
3188 110 101 0.042654 0.0687802
3190 139 148 -0.0313589 0.0589991
3191 122 83 0.190244 0.0685675
3192 115 131 -0.0650407 0.0636227
3193 62 65 -0.023622 0.0887109
3194 178 162 0.0470588 0.0541725
3195 141 138 0.0107527 0.059865
3196 165 157 0.0248447 0.0557106
3197 130 122 0.031746 0.0629623
3198 151 128 0.0824373 0.0596647
3199 166 152 0.0440252 0.0560228
3200 155 166 -0.0342679 0.0557818
3201 140 156 -0.0540541 0.0580388
3202 164 163 0.0030581 0.0552999
3203 17 15 0.0625 0.176431
3204 154 138 0.0547945 0.0584327
3205 175 147 0.0869565 0.0555167
3212 28 15 0.302326 0.145362
3213 94 82 0.0681818 0.0752024
3214 60 48 0.111111 0.0956292
3215 132 135 -0.011236 0.0611951
3217 165 132 0.111111 0.0576666
3218 15 18 -0.0909091 0.173357
3219 151 164 -0.0412698 0.0562956
3220 176 159 0.0507463 0.0545654
3221 52 58 -0.0545455 0.0952043
3222 199 222 -0.0546318 0.0486642
3223 190 162 0.0795455 0.0531313
3224 32 38 -0.0857143 0.119083
3225 172 164 0.0238095 0.054539
3226 220 191 0.0705596 0.0492034
3227 16 26 -0.238095 0.149866
3228 183 162 0.0608696 0.0537384
3229 155 151 0.0130719 0.0571613
3230 160 172 -0.0361446 0.0548463
3231 50 41 0.0989011 0.104315
3239 30 27 0.0526316 0.13227
3240 79 75 0.025974 0.0805551
3241 88 81 0.0414201 0.0768571
3242 91 71 0.123457 0.0779664
3243 73 75 -0.0135135 0.082192
3244 88 80 0.047619 0.0770642
3245 120 87 0.15942 0.0686159
3246 92 115 -0.111111 0.0690744
3247 87 87 0 0.0758098
3248 99 86 0.0702703 0.0733397
3249 24 24 0 0.144338
3250 12 13 -0.04 0.19984
