#run N+ N- A_raw_p dA_raw_p
3733 14 14 0 0.188982
3734 28 34 -0.0967742 0.126404
3737 10 6 0.25 0.242061
3738 13 11 0.0833333 0.203414
3739 32 34 -0.030303 0.123035
3740 24 32 -0.142857 0.13226
3741 25 27 -0.0384615 0.138572
3742 3 5 -0.25 0.342327
3747 2 2 0 0.5
3748 23 35 -0.206897 0.128465
3749 20 20 0 0.158114
3750 14 16 -0.0666667 0.182168
3752 15 13 0.0714286 0.1885
3753 8 6 0.142857 0.26452
3754 13 10 0.130435 0.206733
3755 22 25 -0.0638298 0.145568
3756 18 26 -0.181818 0.148243
3758 29 22 0.137255 0.138703
3759 30 18 0.25 0.139754
3761 5 13 -0.444444 0.211144
3762 20 26 -0.130435 0.146182
3763 35 38 -0.0410959 0.116942
3764 22 24 -0.0434783 0.147303
3765 29 23 0.115385 0.137749
3766 20 26 -0.130435 0.146182
3767 36 19 0.309091 0.128237
3782 5 8 -0.230769 0.269864
3783 2 5 -0.428571 0.341494
3784 24 23 0.0212766 0.145832
3786 2 4 -0.333333 0.3849
3787 5 3 0.25 0.342327
3788 18 24 -0.142857 0.152721
3789 29 24 0.0943396 0.136748
3790 8 2 0.6 0.252982
3791 14 12 0.0769231 0.195535
3792 2 1 0.333333 0.544331
3796 2 2 0 0.5
3810 25 27 -0.0384615 0.138572
3811 19 22 -0.0731707 0.155755
3812 7 8 -0.0666667 0.257624
3813 19 14 0.151515 0.172068
3815 2 5 -0.428571 0.341494
3822 2 6 -0.5 0.306186
3823 18 17 0.0285714 0.168962
3824 17 20 -0.0810811 0.163858
3825 20 17 0.0810811 0.163858
3826 33 35 -0.0294118 0.121215
3827 19 22 -0.0731707 0.155755
3828 21 25 -0.0869565 0.146883
3829 19 7 0.461538 0.173979
3830 24 29 -0.0943396 0.136748
3832 28 13 0.365854 0.145347
3833 24 16 0.2 0.154919
3835 24 22 0.0434783 0.147303
3836 27 25 0.0384615 0.138572
3837 11 13 -0.0833333 0.203414
3838 25 14 0.282051 0.153627
3839 24 15 0.230769 0.155806
3840 15 21 -0.166667 0.164336
3841 18 19 -0.027027 0.164339
3842 24 19 0.116279 0.151464
3843 23 14 0.243243 0.159461
3844 17 21 -0.105263 0.16132
3846 19 17 0.0555556 0.166409
3847 26 28 -0.037037 0.135989
3848 17 12 0.172414 0.182914
3849 26 25 0.0196078 0.140001
3850 23 25 -0.0416667 0.144212
3851 28 32 -0.0666667 0.128812
3852 14 19 -0.151515 0.172068
3853 17 19 -0.0555556 0.166409
3854 22 20 0.047619 0.154128
3855 15 16 -0.0322581 0.179512
3856 21 23 -0.0454545 0.1506
3857 14 7 0.333333 0.205738
3858 24 24 0 0.144338
3859 33 30 0.047619 0.125845
3860 12 10 0.0909091 0.212318
3861 14 6 0.4 0.204939
3864 26 17 0.209302 0.149121
3866 15 15 0 0.182574
3868 12 28 -0.4 0.144914
3869 24 22 0.0434783 0.147303
3878 11 13 -0.0833333 0.203414
3880 24 23 0.0212766 0.145832
3881 8 10 -0.111111 0.234243
3882 17 24 -0.170732 0.153881
3883 30 25 0.0909091 0.134282
3884 19 25 -0.136364 0.149347
3885 37 21 0.275862 0.126211
3889 22 19 0.0731707 0.155755
3890 37 21 0.275862 0.126211
3923 14 13 0.037037 0.192318
3924 4 4 0 0.353553
3926 25 30 -0.0909091 0.134282
3927 15 20 -0.142857 0.167297
3928 11 22 -0.333333 0.164122
3929 17 15 0.0625 0.176431
3930 17 12 0.172414 0.182914
3931 18 24 -0.142857 0.152721
3932 28 23 0.0980392 0.139353
3933 17 25 -0.190476 0.151478
3934 20 21 -0.0243902 0.156127
3935 17 26 -0.209302 0.149121
3936 23 25 -0.0416667 0.144212
3937 32 15 0.361702 0.135989
3938 7 9 -0.125 0.248039
3939 18 15 0.0909091 0.173357
3940 31 17 0.291667 0.138062
3941 30 28 0.0344828 0.131228
3942 15 19 -0.117647 0.170308
3944 13 14 -0.037037 0.192318
3945 6 5 0.0909091 0.300263
3946 27 24 0.0588235 0.139786
3947 14 24 -0.263158 0.156504
3948 36 31 0.0746269 0.121829
3951 0 1 -1 0
3952 28 23 0.0980392 0.139353
3954 26 28 -0.037037 0.135989
3955 32 30 0.0322581 0.126934
3956 33 22 0.2 0.132116
3957 25 12 0.351351 0.153918
3959 33 32 0.0153846 0.12402
3960 12 27 -0.384615 0.147811
3961 27 21 0.125 0.143205
3962 9 10 -0.0526316 0.229098
3963 22 22 0 0.150756
3964 32 17 0.306122 0.135999
3965 14 10 0.166667 0.201269
3966 19 21 -0.05 0.157916
3967 7 19 -0.461538 0.173979
3968 11 19 -0.266667 0.175963
3970 27 32 -0.0847458 0.129721
3972 25 15 0.25 0.153093
3973 23 18 0.121951 0.155008
3974 10 12 -0.0909091 0.212318
3975 26 25 0.0196078 0.140001
3976 10 13 -0.130435 0.206733
3977 21 19 0.05 0.157916
3978 6 8 -0.142857 0.26452
3980 4 3 0.142857 0.374088
3981 2 2 0 0.5
3983 7 14 -0.333333 0.205738
3985 15 19 -0.117647 0.170308
3986 11 17 -0.214286 0.184592
3996 24 9 0.454545 0.155055
3998 4 5 -0.111111 0.331269
4023 2 5 -0.428571 0.341494
4024 0 1 -1 0
4025 7 11 -0.222222 0.229809
4027 8 9 -0.0588235 0.242116
4028 22 12 0.294118 0.163913
4029 9 17 -0.307692 0.186602
4030 11 10 0.047619 0.21797
4031 25 29 -0.0740741 0.135709
4032 11 17 -0.214286 0.184592
4034 7 4 0.272727 0.290081
4035 24 15 0.230769 0.155806
4036 8 4 0.333333 0.272166
4037 10 8 0.111111 0.234243
4038 12 11 0.0434783 0.208317
4043 19 13 0.1875 0.173641
4044 10 12 -0.0909091 0.212318
4046 2 6 -0.5 0.306186
4048 1 4 -0.6 0.357771
4051 22 25 -0.0638298 0.145568
4052 12 12 0 0.204124
4053 21 16 0.135135 0.162891
4054 25 22 0.0638298 0.145568
4055 8 8 0 0.25
4056 14 10 0.166667 0.201269
4057 10 6 0.25 0.242061
4058 15 15 0 0.182574
4059 19 16 0.0857143 0.168409
4060 18 15 0.0909091 0.173357
4061 16 12 0.142857 0.187044
4062 19 14 0.151515 0.172068
4063 9 15 -0.25 0.197642
4064 15 10 0.2 0.195959
4065 12 11 0.0434783 0.208317
4066 5 4 0.111111 0.331269
4067 8 9 -0.0588235 0.242116
4068 25 28 -0.0566038 0.13714
4069 8 12 -0.2 0.219089
4070 3 1 0.5 0.433013
4071 23 21 0.0454545 0.1506
4072 25 23 0.0416667 0.144212
4073 1 1 0 0.707107
4074 25 30 -0.0909091 0.134282
4075 14 16 -0.0666667 0.182168
4076 12 18 -0.2 0.178885
4077 26 23 0.0612245 0.142589
4078 30 22 0.153846 0.137024
4079 16 8 0.333333 0.19245
4080 24 28 -0.0769231 0.138264
4081 2 6 -0.5 0.306186
4082 4 15 -0.578947 0.187058
4083 18 19 -0.027027 0.164339
4084 23 17 0.15 0.156325
4085 23 22 0.0222222 0.149034
4086 10 8 0.111111 0.234243
4087 8 9 -0.0588235 0.242116
4088 11 20 -0.290323 0.171869
4089 15 5 0.5 0.193649
4091 7 5 0.166667 0.284638
4092 10 7 0.176471 0.238729
4093 1 6 -0.714286 0.26452
4094 2 2 0 0.5
4095 7 12 -0.263158 0.221329
4096 4 4 0 0.353553
4097 6 6 0 0.288675
4098 6 8 -0.142857 0.26452
4099 19 12 0.225806 0.174966
4100 21 21 0 0.154303
4101 14 10 0.166667 0.201269
4102 9 21 -0.4 0.167332
4103 10 10 0 0.223607
4104 25 25 0 0.141421
4105 23 16 0.179487 0.157528
4106 2 8 -0.6 0.252982
4107 6 13 -0.368421 0.213278
4114 11 13 -0.0833333 0.203414
4115 14 12 0.0769231 0.195535
4116 7 1 0.75 0.233854
4117 28 24 0.0769231 0.138264
4118 14 12 0.0769231 0.195535
4119 14 14 0 0.188982
4120 30 31 -0.0163934 0.12802
4121 16 10 0.230769 0.190823
4122 2 4 -0.333333 0.3849
4155 11 12 -0.0434783 0.208317
4156 10 17 -0.259259 0.18587
4159 5 6 -0.0909091 0.300263
4160 3 8 -0.454545 0.268563
4164 14 16 -0.0666667 0.182168
4165 21 20 0.0243902 0.156127
4167 11 14 -0.12 0.198555
4168 24 15 0.230769 0.155806
4169 12 18 -0.2 0.178885
4170 10 16 -0.230769 0.190823
4171 15 16 -0.0322581 0.179512
4172 14 12 0.0769231 0.195535
4173 15 21 -0.166667 0.164336
4174 9 5 0.285714 0.25612
4175 18 21 -0.0769231 0.159654
4176 14 13 0.037037 0.192318
4178 14 20 -0.176471 0.168807
4179 22 21 0.0232558 0.152457
4180 19 31 -0.24 0.137288
4181 24 24 0 0.144338
4182 30 24 0.111111 0.13524
4186 14 18 -0.125 0.17539
4187 20 21 -0.0243902 0.156127
4188 18 7 0.44 0.1796
4190 12 9 0.142857 0.21598
4194 6 13 -0.368421 0.213278
4195 14 17 -0.0967742 0.178762
4196 21 20 0.0243902 0.156127
4197 23 28 -0.0980392 0.139353
4198 34 39 -0.0684932 0.116766
4199 26 24 0.04 0.141308
4200 8 16 -0.333333 0.19245
4201 36 25 0.180328 0.125938
4202 1 1 0 0.707107
4203 33 31 0.03125 0.124939
4204 11 10 0.047619 0.21797
4214 17 14 0.0967742 0.178762
4215 12 7 0.263158 0.221329
4216 19 15 0.117647 0.170308
4217 8 6 0.142857 0.26452
4218 4 8 -0.333333 0.272166
4219 11 21 -0.3125 0.167923
4220 29 14 0.348837 0.142919
4223 11 25 -0.388889 0.153547
4224 24 19 0.116279 0.151464
4230 7 3 0.4 0.289828
4231 26 21 0.106383 0.145037
4233 26 19 0.155556 0.147257
4234 10 7 0.176471 0.238729
4236 9 8 0.0588235 0.242116
4251 40 27 0.19403 0.119848
4252 31 30 0.0163934 0.12802
4253 12 21 -0.272727 0.167479
4254 30 41 -0.15493 0.117245
4256 35 39 -0.0540541 0.116078
4257 26 17 0.209302 0.149121
4258 15 13 0.0714286 0.1885
4260 4 2 0.333333 0.3849
4261 18 16 0.0588235 0.171202
4262 11 9 0.1 0.222486
4263 23 23 0 0.147442
4264 12 6 0.333333 0.222222
4265 26 31 -0.0877193 0.131943
4266 7 7 0 0.267261
4273 14 8 0.272727 0.205119
4274 19 18 0.027027 0.164339
4275 23 19 0.0952381 0.153602
4284 12 17 -0.172414 0.182914
4285 20 32 -0.230769 0.134932
4286 23 22 0.0222222 0.149034
4289 21 10 0.354839 0.167918
4290 16 17 -0.030303 0.173998
4292 3 6 -0.333333 0.31427
4293 5 6 -0.0909091 0.300263
4294 0 3 -1 0
4297 26 21 0.106383 0.145037
4298 17 9 0.307692 0.186602
4299 7 9 -0.125 0.248039
4300 6 4 0.2 0.309839
4303 17 19 -0.0555556 0.166409
4304 19 18 0.027027 0.164339
4305 18 8 0.384615 0.18103
4307 21 24 -0.0666667 0.14874
4308 18 19 -0.027027 0.164339
4309 1 3 -0.5 0.433013
4310 9 6 0.2 0.252982
4311 20 12 0.25 0.171163
4315 20 9 0.37931 0.171818
4316 9 8 0.0588235 0.242116
4320 18 15 0.0909091 0.173357
4321 10 5 0.333333 0.243432
4323 14 18 -0.125 0.17539
4324 13 10 0.130435 0.206733
4328 21 14 0.2 0.165616
4329 19 24 -0.116279 0.151464
4330 22 16 0.157895 0.160187
4331 6 7 -0.0769231 0.276528
4332 9 16 -0.28 0.192
4333 26 19 0.155556 0.147257
4334 12 10 0.0909091 0.212318
4335 8 6 0.142857 0.26452
4339 5 8 -0.230769 0.269864
4341 18 18 0 0.166667
4343 17 22 -0.128205 0.158807
4344 12 10 0.0909091 0.212318
4354 18 15 0.0909091 0.173357
4355 26 31 -0.0877193 0.131943
4356 36 35 0.0140845 0.118666
4357 30 44 -0.189189 0.114148
4359 22 27 -0.102041 0.142111
4360 26 22 0.0833333 0.143836
4361 27 21 0.125 0.143205
4363 18 18 0 0.166667
4364 31 25 0.107143 0.132861
4365 13 14 -0.037037 0.192318
4367 4 9 -0.384615 0.256015
4368 13 13 0 0.196116
4370 24 21 0.0666667 0.14874
4371 19 22 -0.0731707 0.155755
4372 24 21 0.0666667 0.14874
4374 13 15 -0.0714286 0.1885
4375 14 13 0.037037 0.192318
4376 17 17 0 0.171499
4378 17 22 -0.128205 0.158807
4379 18 20 -0.0526316 0.161997
4470 0 1 -1 0
4471 2 0 1 0
4474 7 3 0.4 0.289828
4475 8 5 0.230769 0.269864
4476 8 11 -0.157895 0.226538
4478 9 8 0.0588235 0.242116
4479 16 18 -0.0588235 0.171202
4482 9 3 0.5 0.25
4483 0 4 -1 0
4486 9 10 -0.0526316 0.229098
4487 8 7 0.0666667 0.257624
4488 1 0 1 0
4490 10 8 0.111111 0.234243
4491 15 9 0.25 0.197642
4492 15 12 0.111111 0.191258
4493 3 3 0 0.408248
4494 14 7 0.333333 0.205738
4495 17 11 0.214286 0.184592
4497 9 15 -0.25 0.197642
4498 10 10 0 0.223607
4503 23 15 0.210526 0.158586
4507 21 24 -0.0666667 0.14874
4510 9 9 0 0.235702
4512 31 41 -0.138889 0.116709
4514 26 19 0.155556 0.147257
4522 29 32 -0.0491803 0.127882
4523 18 29 -0.234043 0.141814
4524 24 29 -0.0943396 0.136748
4526 38 36 0.027027 0.116205
4540 15 26 -0.268293 0.150448
4543 3 2 0.2 0.438178
4547 13 13 0 0.196116
4549 25 26 -0.0196078 0.140001
4552 34 23 0.192982 0.129963
4554 11 18 -0.241379 0.180204
4556 24 27 -0.0588235 0.139786
4557 30 18 0.25 0.139754
4559 18 20 -0.0526316 0.161997
4560 11 14 -0.12 0.198555
4562 15 19 -0.117647 0.170308
4569 20 37 -0.298246 0.126425
4570 12 21 -0.272727 0.167479
4571 28 29 -0.0175439 0.132433
4572 19 7 0.461538 0.173979
4573 22 29 -0.137255 0.138703
4574 30 27 0.0526316 0.13227
4575 16 21 -0.135135 0.162891
4576 47 30 0.220779 0.111148
4577 44 31 0.173333 0.113722
4578 0 3 -1 0
4579 32 30 0.0322581 0.126934
4580 33 41 -0.108108 0.115566
4581 31 31 0 0.127
4582 33 33 0 0.123091
4583 50 34 0.190476 0.107111
4585 15 7 0.363636 0.198605
4586 14 14 0 0.188982
4587 10 9 0.0526316 0.229098
