#run  N_plus  N_minus  A_raw  dA_stat
3159 203 236 -0.0751708 5.17417e-06
2625 371 331 0.0569801 2.02591e-06
3166 175 185 -0.0277778 7.71307e-06
2626 364 329 0.0505051 2.0796e-06
3167 194 195 -0.00257069 6.60845e-06
2630 34 28 0.0967742 0.000258925
3171 68 79 -0.0748299 4.61473e-05
3177 173 217 -0.112821 6.53265e-06
2637 382 346 0.0494505 1.88454e-06
3178 194 192 0.00518135 6.7115e-06
2638 300 286 0.0238908 2.91126e-06
3179 220 233 -0.0286976 4.87107e-06
3180 208 206 0.00483092 5.83437e-06
3186 101 119 -0.0818182 2.05919e-05
3196 232 249 -0.035343 4.31955e-06
2659 358 365 -0.00968188 1.91295e-06
3200 244 215 0.0631808 4.73703e-06
